Filtered results,
BH.180C,0.9988510408438496,0.0014423020723071066
BH.107L,0.09394595242629755,1.6851517538605538
nga151,0.018846720551155344,2.37300193007773
DF.231C,0.021117898324293147,2.3291402442282663
DF.184L,0.005533032328530637,2.81291078281457
GH.473C,0.001756081921217413,3.183257431098571
GH.121L,0.0025566096993449214,3.0657978900629463
AD.129L,0.006011935963955586,2.785241271686132
HH.480C,0.0020458335925094854,3.13589149774745
BH.96L,0.07371242716358642,1.8005078087406945
CC.188L,0.0788372307449529,1.7690643288603503
GD.239L,0.09277761395871857,1.6912931328138787
DF.300C,0.06329131801353718,1.8703888887078062
GB.235C,0.023245234263111803,2.2918148185946796
CD.179L,0.06329368250233824,1.87037196148894
CH.88L,0.14477649510727839,1.4655289643777019
CD.116L,0.19041872342623656,1.3150257741172424
EC.151L,0.4517529479925654,0.7543649697703922
DFR,0.6132037692933218,0.5065113977277373
GD.350L,0.31954739187937486,-0.9985337678927382
BH.81L,0.3127875445410216,-1.0126249242903607
HH.445L,0.23592071366034983,-1.189772156662901
GD.118C,0.3468274256294842,-0.9435750933254794
CC.262C,0.15752372052188315,-1.4202292889836503
GB.102L,0.3185414120397229,-1.0006383694068486
HH.143C,0.9780070477585583,0.027611534903317997
BF.168L,0.7763108743498486,-0.28461932500283915
DF.119L,0.8678774458106685,-0.16662764539474487
GD.222C,0.6242205731774497,-0.4908462481713393
EG.205L,0.25077241588645055,-1.1527051231854746
