Filtered results,
GB.112L,0.9908246412272819,-0.011518073009240298
BH.106L,0.6931184636545615,-0.3953537995364121
GD.97L,0.537828052235034,0.6174566994368367
DF.93C,0.3115147403456414,1.0153006860114837
CD.108L,0.3097944489692868,1.0189287731117225
DF.85C,0.2624413920094682,1.1246538653162037
FD.59C,0.10409402765687809,1.6348019863021848
BF.206L,0.15747832048587201,1.4203424129145399
CH.200C,0.08066380198523013,1.7581177900674856
DF.260L,0.11073136915538258,1.6039082784060315
EC.88C,0.08253343439182058,1.7472700090995532
DF.408C,0.1392620160958003,1.4860368815504446
HH.375L,0.5591602777826927,0.5853388468479487
CH.215L,0.5373203833161873,0.6182201432440058
BF.116C,0.8001569099004723,0.2535706744446075
GH.157L,0.6539798957414833,0.44909851914734084
CC.318C,0.45995960818288395,0.740736528457961
CD.173L,0.9474516476908006,0.06601209651490059
FD.90L,0.706427676099666,0.37733950973975655
CD.227C,0.8553081518916406,0.182648275255234
HH.360L,0.7407202290346859,0.3314812916647626
AD.156C,0.21956597888391105,1.2326044044081463
BF.325L,0.49684386793920166,0.6810387575972596
GH.580L,0.35179705940945094,0.9338854372590074
CH.610C,0.1959832057709535,1.298571267410202
EC.495C,0.1563672827967468,1.4241768387336466
FD.81L,0.10886812480310404,1.6124113397001858
